==Items==
Type:LiPo  	Cells:2S  	Mode:Cycle  	DMode:Inter 	CC:1000mA 	CV:4180mV 
DC:1000mA  	DV:3200mV  	PeakV:5mV  	Cyc:5  	Waste:5Min  	InMax:49V  	eLoad:30W
==Data==
Time(h/m/s) 	Vin(mv)  	Iin(mA) 	Power-in(W) 	Vout(mv)  	Iout(mA)  	Power-ch(W) 	Capa(mah)  	inTmp(C)  	exttmp(C)   	B1(mv)  	B2(mv)  	B3(mv)  	B4(mv)  	B5(mv)  	B6(mv)  	B7(mv)  	B8(mv)
0:3:46  	20011 	366 	5 	8364 	620 	5 	45 	32 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:3:47  	20013 	366 	5 	8359 	619 	5 	45 	32 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:3:48  	20012 	366 	5 	8359 	621 	5 	45 	32 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:3:49  	20010 	366 	5 	8359 	618 	5 	45 	32 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:3:50  	20014 	366 	5 	8359 	615 	5 	46 	32 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:3:51  	20012 	366 	5 	8360 	616 	5 	46 	32 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:3:52  	20012 	366 	5 	8361 	616 	5 	46 	32 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:3:53  	20012 	366 	5 	8359 	611 	5 	46 	32 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:3:54  	20014 	366 	5 	8359 	611 	5 	46 	32 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:3:55  	20014 	366 	5 	8359 	607 	5 	46 	32 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:3:56  	20014 	366 	5 	8361 	614 	5 	47 	32 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:3:57  	20014 	366 	5 	8359 	614 	5 	47 	32 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:3:58  	20013 	366 	5 	8359 	605 	5 	47 	32 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:3:59  	20015 	366 	5 	8360 	610 	5 	47 	32 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:4:0  	20011 	366 	5 	8360 	603 	5 	47 	32 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:4:1  	20013 	366 	5 	8364 	604 	5 	47 	32 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:4:2  	20014 	366 	5 	8361 	610 	5 	48 	32 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:4:3  	20062 	113 	5 	8206 	608 	4 	48 	32 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:4:4  	20012 	366 	5 	8361 	609 	5 	48 	32 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:4:5  	20015 	366 	5 	8363 	606 	5 	48 	32 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:4:6  	20014 	366 	5 	8364 	605 	5 	48 	32 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:4:7  	20014 	366 	5 	8361 	604 	5 	48 	32 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:4:8  	20014 	366 	5 	8360 	607 	5 	49 	32 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:4:9  	20012 	366 	5 	8360 	603 	5 	49 	32 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:4:10  	20014 	366 	5 	8359 	604 	5 	49 	32 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:4:11  	20014 	366 	5 	8360 	604 	5 	49 	32 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:4:12  	20013 	366 	4 	8361 	597 	4 	49 	32 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:4:13  	20014 	366 	5 	8361 	597 	4 	49 	32 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:4:14  	20016 	366 	5 	8359 	603 	5 	50 	32 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:4:15  	20014 	366 	4 	8360 	595 	4 	50 	32 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:4:16  	20014 	366 	4 	8359 	599 	5 	50 	32 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:4:17  	20015 	366 	4 	8361 	595 	4 	50 	32 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:4:18  	20015 	366 	5 	8360 	599 	5 	50 	32 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:4:19  	20015 	366 	4 	8359 	598 	4 	51 	32 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:4:20  	20015 	366 	5 	8360 	598 	4 	51 	32 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:4:21  	20013 	366 	4 	8360 	592 	4 	51 	32 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:4:22  	20016 	366 	4 	8362 	598 	5 	51 	32 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:4:24  	20015 	366 	4 	8364 	590 	4 	51 	32 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:4:25  	20016 	366 	4 	8359 	594 	4 	51 	32 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:4:26  	20014 	366 	4 	8361 	597 	4 	52 	32 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:4:27  	20015 	366 	4 	8359 	594 	4 	52 	32 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:4:28  	20015 	366 	4 	8360 	594 	4 	52 	32 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:4:29  	20014 	366 	4 	8359 	588 	4 	52 	32 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:4:30  	20015 	366 	4 	8359 	588 	4 	52 	32 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:4:31  	20016 	366 	4 	8359 	588 	4 	52 	32 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:4:32  	20015 	366 	4 	8364 	584 	4 	53 	32 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:4:33  	20015 	366 	4 	8359 	586 	4 	53 	32 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:4:34  	20016 	366 	4 	8364 	583 	4 	53 	32 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:4:35  	20015 	366 	4 	8364 	584 	4 	53 	32 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:4:36  	20016 	366 	4 	8360 	587 	4 	53 	32 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:4:37  	20015 	366 	4 	8360 	584 	4 	53 	32 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:4:38  	20016 	366 	4 	8360 	582 	4 	54 	32 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:4:39  	20017 	366 	4 	8364 	586 	4 	54 	32 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:4:40  	20017 	366 	4 	8359 	584 	4 	54 	32 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:4:41  	20015 	366 	4 	8360 	581 	4 	54 	32 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:4:42  	20015 	366 	4 	8359 	585 	4 	54 	32 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:4:43  	20014 	366 	4 	8359 	583 	4 	54 	32 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:4:44  	20014 	366 	4 	8358 	584 	4 	55 	32 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:4:45  	20014 	366 	4 	8358 	583 	4 	55 	32 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:4:46  	20016 	366 	4 	8357 	579 	4 	55 	32 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:4:47  	20016 	366 	4 	8358 	580 	4 	55 	32 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:4:48  	20015 	366 	4 	8360 	577 	4 	55 	32 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:4:49  	20015 	366 	4 	8361 	583 	4 	55 	32 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:4:50  	20015 	366 	4 	8361 	581 	4 	56 	32 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:4:51  	20015 	366 	4 	8358 	581 	4 	56 	32 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:4:52  	20017 	366 	4 	8359 	577 	4 	56 	32 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:4:53  	20016 	366 	4 	8361 	576 	4 	56 	32 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:4:54  	20014 	366 	4 	8360 	576 	4 	56 	32 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:4:55  	20016 	366 	4 	8359 	577 	4 	56 	32 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:4:56  	20015 	366 	4 	8359 	576 	4 	56 	32 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:4:57  	20016 	366 	4 	8360 	577 	4 	57 	32 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:4:58  	20015 	366 	4 	8359 	572 	4 	57 	32 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:4:59  	20015 	366 	4 	8363 	575 	4 	57 	32 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:5:0  	20017 	366 	4 	8363 	572 	4 	57 	32 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:5:1  	20016 	366 	4 	8361 	571 	4 	57 	32 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:5:3  	20016 	366 	4 	8360 	570 	4 	57 	32 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:5:4  	20016 	366 	4 	8364 	576 	4 	58 	32 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:5:5  	20016 	347 	4 	8360 	568 	4 	58 	32 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:5:6  	20016 	366 	4 	8361 	565 	4 	58 	32 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:5:7  	20019 	333 	4 	8360 	563 	4 	58 	32 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:5:8  	20015 	366 	4 	8360 	565 	4 	58 	32 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:5:9  	20017 	353 	4 	8361 	566 	4 	58 	32 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:5:10  	20017 	366 	4 	8360 	562 	4 	59 	32 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:5:11  	20016 	366 	4 	8366 	559 	4 	59 	32 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:5:12  	20017 	357 	4 	8359 	557 	4 	59 	32 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:5:13  	20016 	329 	4 	8363 	562 	4 	59 	32 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:5:14  	20017 	364 	4 	8359 	560 	4 	59 	32 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:5:15  	20017 	364 	4 	8361 	557 	4 	59 	32 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:5:16  	20019 	338 	4 	8361 	559 	4 	60 	32 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:5:17  	20019 	329 	4 	8359 	559 	4 	60 	32 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:5:18  	20017 	362 	4 	8360 	555 	4 	60 	32 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:5:19  	20017 	338 	4 	8360 	552 	4 	60 	32 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:5:20  	20017 	331 	4 	8360 	553 	4 	60 	32 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:5:21  	20019 	329 	4 	8359 	549 	4 	60 	32 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:5:22  	20016 	329 	4 	8361 	562 	4 	61 	32 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:5:23  	20017 	329 	4 	8362 	555 	4 	61 	32 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:5:24  	20020 	329 	4 	8359 	557 	4 	61 	32 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:5:25  	20019 	329 	4 	8359 	553 	4 	61 	32 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:5:26  	20017 	329 	4 	8359 	551 	4 	61 	32 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:5:27  	20016 	329 	4 	8361 	549 	4 	61 	32 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:5:28  	20019 	329 	4 	8360 	552 	4 	61 	32 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:5:29  	20017 	329 	4 	8359 	550 	4 	62 	32 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:5:30  	20019 	329 	4 	8359 	549 	4 	62 	32 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:5:31  	20020 	329 	4 	8359 	548 	4 	62 	32 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:5:32  	20020 	329 	4 	8359 	545 	4 	62 	32 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:5:33  	20020 	329 	4 	8359 	545 	4 	62 	32 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:5:34  	20020 	329 	4 	8364 	539 	4 	62 	32 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:5:35  	20019 	332 	4 	8363 	546 	4 	63 	32 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:5:36  	20017 	329 	4 	8360 	542 	4 	63 	32 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:5:37  	20019 	329 	4 	8361 	546 	4 	63 	32 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:5:38  	20016 	329 	4 	8360 	542 	4 	63 	32 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:5:39  	20017 	329 	4 	8360 	542 	4 	63 	32 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:5:41  	20015 	329 	4 	8358 	542 	4 	63 	32 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:5:42  	20017 	329 	4 	8357 	542 	4 	63 	32 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:5:43  	20019 	329 	4 	8359 	542 	4 	64 	32 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:5:44  	20019 	329 	4 	8358 	537 	4 	64 	32 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:5:45  	20021 	329 	4 	8359 	543 	4 	64 	32 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:5:46  	20020 	329 	4 	8360 	543 	4 	64 	32 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:5:47  	20017 	329 	4 	8359 	545 	4 	64 	32 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:5:48  	20017 	329 	4 	8360 	545 	4 	64 	32 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:5:49  	20019 	329 	4 	8359 	542 	4 	65 	32 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:5:50  	20020 	329 	4 	8360 	542 	4 	65 	32 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:5:51  	20019 	329 	4 	8360 	542 	4 	65 	32 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:5:52  	20019 	329 	4 	8364 	540 	4 	65 	32 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:5:53  	20020 	329 	4 	8360 	544 	4 	65 	32 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:5:54  	20020 	329 	4 	8361 	534 	4 	65 	32 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:5:55  	20019 	329 	4 	8361 	537 	4 	65 	32 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:5:56  	20020 	329 	4 	8359 	537 	4 	66 	32 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:5:57  	20020 	329 	4 	8359 	535 	4 	66 	33 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:5:58  	20019 	329 	4 	8364 	540 	4 	66 	33 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:5:59  	20020 	348 	4 	8360 	533 	4 	66 	33 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:6:0  	20021 	329 	4 	8365 	537 	4 	66 	33 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:6:1  	20020 	329 	4 	8361 	538 	4 	66 	33 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:6:2  	20020 	329 	4 	8360 	540 	4 	67 	33 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:6:3  	20019 	329 	4 	8363 	529 	4 	67 	33 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:6:4  	20017 	329 	4 	8360 	534 	4 	67 	33 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:6:5  	20020 	329 	4 	8361 	536 	4 	67 	33 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:6:6  	20020 	329 	4 	8360 	534 	4 	67 	33 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:6:7  	20016 	329 	4 	8363 	530 	4 	67 	33 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:6:8  	20022 	329 	4 	8360 	528 	4 	67 	33 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:6:9  	20019 	329 	4 	8360 	531 	4 	68 	33 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:6:10  	20021 	329 	4 	8360 	530 	4 	68 	33 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:6:11  	20020 	329 	4 	8361 	527 	4 	68 	33 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:6:12  	20020 	329 	4 	8360 	530 	4 	68 	33 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:6:13  	20020 	329 	4 	8361 	528 	4 	68 	33 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:6:14  	20021 	329 	4 	8363 	529 	4 	68 	33 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:6:15  	20022 	329 	4 	8361 	531 	4 	69 	33 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:6:16  	20020 	329 	4 	8360 	528 	4 	69 	33 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:6:17  	20020 	329 	4 	8361 	531 	4 	69 	33 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:6:18  	20020 	329 	4 	8359 	526 	4 	69 	33 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:6:19  	20021 	329 	4 	8361 	524 	4 	69 	33 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:6:20  	20021 	329 	4 	8359 	524 	4 	69 	33 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:6:22  	20021 	329 	4 	8359 	520 	4 	69 	33 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:6:23  	20021 	329 	4 	8361 	522 	4 	70 	33 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:6:24  	20021 	329 	4 	8359 	519 	4 	70 	33 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:6:25  	20021 	329 	4 	8360 	523 	4 	70 	33 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:6:26  	20022 	329 	4 	8359 	521 	4 	70 	33 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:6:27  	20021 	329 	4 	8360 	518 	4 	70 	33 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:6:28  	20021 	329 	4 	8361 	534 	4 	70 	33 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:6:29  	20022 	329 	4 	8359 	518 	4 	70 	33 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:6:30  	20021 	329 	4 	8359 	521 	4 	71 	33 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:6:31  	20021 	329 	4 	8359 	519 	4 	71 	33 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:6:32  	20022 	329 	4 	8359 	514 	4 	71 	33 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:6:33  	20020 	329 	4 	8359 	517 	4 	71 	33 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:6:34  	20020 	329 	4 	8360 	519 	4 	71 	33 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:6:35  	20022 	329 	4 	8359 	518 	4 	71 	33 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:6:36  	20022 	329 	4 	8363 	518 	4 	71 	33 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:6:37  	20021 	329 	4 	8360 	516 	4 	72 	33 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:6:38  	20021 	329 	4 	8359 	517 	4 	72 	33 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:6:39  	20021 	329 	4 	8363 	516 	4 	72 	33 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:6:40  	20021 	329 	4 	8360 	513 	4 	72 	33 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:6:41  	20021 	329 	4 	8363 	514 	4 	72 	33 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:6:42  	20023 	329 	4 	8359 	516 	4 	72 	33 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:6:43  	20023 	329 	4 	8359 	519 	4 	73 	33 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:6:44  	20020 	329 	4 	8362 	512 	4 	73 	33 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:6:45  	20022 	329 	4 	8358 	517 	4 	73 	33 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:6:46  	20021 	329 	4 	8360 	515 	4 	73 	33 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:6:47  	20022 	329 	4 	8359 	509 	4 	73 	33 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:6:48  	20021 	329 	4 	8358 	512 	4 	73 	33 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:6:49  	20021 	329 	4 	8359 	511 	4 	73 	33 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:6:50  	20022 	329 	4 	8358 	512 	4 	74 	33 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:6:51  	20020 	329 	4 	8358 	512 	4 	74 	33 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:6:52  	20021 	329 	4 	8358 	508 	4 	74 	33 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:6:53  	20019 	329 	4 	8358 	506 	4 	74 	33 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:6:54  	20020 	329 	4 	8358 	509 	4 	74 	33 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:6:55  	20023 	329 	4 	8358 	505 	4 	74 	33 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:6:56  	20020 	329 	4 	8359 	504 	4 	74 	33 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:6:57  	20022 	329 	4 	8359 	508 	4 	75 	33 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:6:58  	20020 	329 	4 	8359 	507 	4 	75 	33 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:6:59  	20021 	329 	4 	8364 	508 	4 	75 	33 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:7:0  	20020 	329 	4 	8364 	504 	4 	75 	33 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:7:1  	20019 	329 	4 	8359 	507 	4 	75 	33 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:7:2  	20022 	329 	4 	8359 	504 	4 	75 	33 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:7:4  	20017 	329 	4 	8363 	532 	4 	75 	33 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:7:5  	20019 	329 	4 	8363 	511 	4 	76 	33 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:7:6  	20021 	329 	4 	8360 	508 	4 	76 	33 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:7:7  	20020 	329 	4 	8361 	505 	4 	76 	33 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:7:8  	20022 	329 	4 	8358 	510 	4 	76 	33 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:7:9  	20020 	329 	4 	8358 	510 	4 	76 	33 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:7:10  	20021 	329 	4 	8358 	507 	4 	76 	33 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:7:11  	20020 	329 	4 	8361 	510 	4 	76 	33 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:7:12  	20021 	329 	4 	8358 	505 	4 	77 	33 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:7:13  	20021 	329 	4 	8362 	504 	4 	77 	33 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:7:14  	20019 	329 	4 	8358 	504 	4 	77 	33 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:7:15  	20020 	329 	4 	8358 	504 	4 	77 	33 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:7:16  	20022 	329 	4 	8357 	507 	4 	77 	33 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:7:17  	20020 	329 	4 	8358 	500 	4 	77 	33 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:7:18  	20022 	329 	4 	8363 	505 	4 	77 	33 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:7:19  	20021 	329 	4 	8359 	503 	4 	78 	33 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:7:20  	20022 	329 	4 	8359 	505 	4 	78 	33 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:7:21  	20022 	329 	4 	8358 	503 	4 	78 	33 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:7:22  	20020 	329 	4 	8359 	505 	4 	78 	33 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:7:23  	20024 	329 	4 	8359 	505 	4 	78 	33 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:7:24  	20022 	329 	4 	8361 	505 	4 	78 	33 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:7:25  	20023 	329 	4 	8360 	505 	4 	78 	33 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:7:26  	20022 	329 	4 	8359 	501 	4 	79 	33 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:7:27  	20022 	329 	4 	8359 	502 	4 	79 	33 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:7:28  	20021 	329 	4 	8359 	499 	4 	79 	33 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:7:29  	20020 	329 	4 	8360 	505 	4 	79 	33 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:7:30  	20022 	329 	4 	8359 	496 	4 	79 	33 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:7:31  	20023 	329 	4 	8359 	496 	4 	79 	33 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:7:32  	20021 	329 	4 	8359 	501 	4 	79 	33 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:7:33  	20021 	329 	4 	8359 	499 	4 	80 	33 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:7:34  	20023 	329 	4 	8363 	500 	4 	80 	33 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:7:35  	20022 	329 	4 	8365 	499 	4 	80 	33 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:7:36  	20023 	329 	4 	8361 	496 	4 	80 	33 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:7:37  	20022 	329 	4 	8360 	500 	4 	80 	33 	-99 	0 	0 	0 	0 	0 	0 	0 	0
0:7:38  	20019 	329 	4 	8361 	498 	4 	80 	33 	-99 	0 	0 	0 	0 	0 	0 	0 	0
